Measurements.Samples	Anatomical_location	Color
PIP597	Synaptic_lipids	#D82C20
PS341	Axonal_lipids	#F2C80F
PS362	Axonal_lipids	#F2C80F
PS384	Axonal_lipids	#F2C80F
PS394	Axonal_lipids	#F2C80F
PS404	Axonal_lipids	#F2C80F
PS406	Axonal_lipids	#F2C80F
PS407	Axonal_lipids	#F2C80F
PS429	Axonal_lipids	#F2C80F
PS4412	Axonal_lipids	#F2C80F
PS443	Axonal_lipids	#F2C80F
PS444	Axonal_lipids	#F2C80F
PS466	Axonal_lipids	#F2C80F
PS467	Axonal_lipids	#F2C80F
PS468	Axonal_lipids	#F2C80F
PS486	Axonal_lipids	#F2C80F
PS488	Axonal_lipids	#F2C80F
PS489	Axonal_lipids	#F2C80F
PSO425	Axonal_lipids	#F2C80F
SHexCer386	Myelin_lipids	#00B2D9
SHexCer401	Myelin_lipids	#00B2D9
SHexCer402	Myelin_lipids	#00B2D9
SHexCer411	Myelin_lipids	#00B2D9
SHexCer412	Myelin_lipids	#00B2D9
SHexCer421	Myelin_lipids	#00B2D9
SHexCer422	Myelin_lipids	#00B2D9
SHexCerd422	Myelin_lipids	#00B2D9
SHexCer423	Myelin_lipids	#00B2D9
SHexCer432	Myelin_lipids	#00B2D9
SHexCer466	Myelin_lipids	#00B2D9
ST361	Myelin_lipids	#00B2D9
STd422	Myelin_lipids	#00B2D9
