Measurements.Samples,Spot.249117,Spot.249150,Spot.249151,Spot.249152,Spot.249157,Spot.249158,Spot.249159,Spot.249160,Spot.249194,Spot.249195,Spot.249196,Spot.249197,Spot.249209,Spot.249210,Spot.249240,Spot.249258,Spot.249259,Spot.249260,Spot.249261,Spot.249262,Spot.249314,Spot.249315,Spot.249316,Spot.249317,Spot.249372,Spot.249373,Spot.249374,Spot.249433,Spot.249434,Spot.249435,Spot.249436,Spot.249498,Spot.249499,Spot.249500,Spot.249501,Spot.249564,Spot.249565,Spot.249566,Spot.249631,Spot.249632,Spot.249633,Spot.249634,Spot.249701,Spot.249702,Spot.249703,Spot.249772,Spot.249773,Spot.249774,Spot.249845,Spot.249846,Spot.249847,Spot.249848,Spot.249920,Spot.249921,Spot.249922,Spot.249923,Spot.249999,Spot.250000,Spot.250001,Spot.250080,Spot.250081,Spot.250082,Spot.250164,Spot.250165,Spot.250166,Spot.250252,Spot.250253,Spot.250254,Spot.250344,Spot.250345,Spot.250346,Spot.250438,Spot.250439,Spot.250440,Spot.250535,Spot.250536,Spot.250589,Spot.250635,Spot.250636,Spot.250637,Spot.250688,Spot.250740,Spot.250741,Spot.250846,Spot.250956,Spot.251018,Spot.251065,Spot.251066,Spot.251175,Spot.251176,Spot.251227,Spot.251228,Spot.251340,Spot.251341,Spot.251591
GT3d480_0,359154.6637,176963.7891,169129.2438,188363.831,165920.8961,199002.8946,160655.422,291144.1011,300776.6744,317913.779,376843.996,389674.952,156985.3071,116849.9181,126966.0205,199978.0586,116161.5632,253050.3411,205398.9597,193620.7602,296017.2374,226372.869,274002.8999,196747.5961,144227.04,203368.5943,123096.5175,266520.732,230777.4203,242833.1131,189086.8856,227524.0877,217357.4023,295656.4764,234544.9503,254772.78,210983.3727,168567.3987,267793.0763,192967.4469,134697.3136,142822.3155,183452.9869,270931.2007,116832.7361,195378.0686,187522.1858,210822.6033,183071.1196,118592.1569,186289.7524,182510.0564,261626.9619,146200.2061,240028.4663,182335.2627,176243.3515,217067.5523,184178.4058,163846.5418,133895.1646,149149.3684,268957.433,178933.2642,109692.7884,166487.3214,160515.6747,270853.928,195722.5225,150981.1954,246589.1421,270982.5223,162530.1085,252401.0109,154634.0912,218840.7692,190491.8847,178669.8812,218735.2159,153615.3112,165327.3506,290504.7612,342125.4997,203311.3175,161669.3375,184601.2615,262296.0302,218862.1235,219879.7022,182507.3524,220531.9061,127134.205,262189.2945,238137.3327,259400.1683
GT3d480_1,192779.6227,187381.8619,111477.7627,97293.67137,97680.29422,83377.36182,84977.5374,128189.4488,132130.1515,149939.3521,210564.112,240958.3802,91355.84919,82304.40781,61169.7322,122192.573,75335.09427,157698.2563,179326.2307,120461.9484,206328.4738,172693.7303,172351.1427,104379.7103,77279.532,123429.1826,103628.7928,147490.2257,85147.82492,121030.8053,198703.0811,121013.6898,109721.8711,174274.7607,164618.1078,150285.475,152261.2174,126305.5603,176337.0373,125141.8516,85006.86706,76590.10984,124519.6405,144754.5897,80062.43793,106672.2882,105470.8673,122254.4748,92741.87757,68005.34774,89290.45867,117871.0437,134369.1999,113104.489,211322.6939,109262.6186,96599.88505,169782.5983,67683.52169,87747.37967,106106.7959,98524.73044,114800.2839,112775.6083,73439.95541,79914.79522,114118.2631,147906.5699,124207.3586,77215.22385,169627.2786,148606.3257,112528.5967,125671.9883,77122.38009,105722.3571,78680.8087,97544.50332,148814.0879,81619.84198,107468.3072,176468.6602,186471.5962,128410.3529,97089.66966,109950.2828,132417.076,121241.5537,111132.7325,100844.161,156632.4027,135553.6917,131393.1218,159901.4591,149011.5192
GT3d480_2,110803.6261,64635.34102,73810.81535,84824.06656,61242.24212,62801.49811,56959.56228,121679.9664,113133.8455,91074.03398,150568.5386,107756.3172,69717.24609,46341.05569,50364.95645,75573.07515,59303.28109,108564.9932,79429.4446,88693.25497,109861.2966,71559.62026,111688.6842,68048.34093,48961.42747,108614.7719,61707.7311,76247.6909,84082.46975,98358.82917,120242.1855,95473.04504,81969.81323,151967.5105,101307.4662,116945.9801,94075.44041,83981.98397,109216.1941,69932.59291,80750.59312,50678.09852,88791.07805,81796.17655,59260.44193,66392.00239,80900.52133,84391.18803,85311.44447,44831.32113,99900.9321,63574.33371,104327.3114,56690.41495,81663.84211,54964.45647,72902.32969,125971.2515,49794.03726,54324.14958,53488.545,69913.16852,76246.50652,75543.96574,54290.5813,59385.26448,60496.26711,122442.1946,96652.64782,50559.80624,104710.7072,116102.3803,59464.21636,101994.8032,73829.48125,85296.72328,69986.72431,79743.06867,91015.4912,74382.71179,77784.15031,121377.0478,124481.268,80262.34566,74829.4833,79239.68135,92758.85676,100028.7948,59045.18983,73272.37566,125244.9943,91065.35395,94878.70234,109828.6377,99948.70286
GT3d480_3,80234.6323,47996.97587,48431.12728,40257.36075,48181.77483,49666.55073,44394.69408,42976.09038,0,48911.00028,71947.38427,98948.60979,47162.25363,36081.67152,29050.70295,40335.75283,33908.55054,72615.55838,38861.28846,46530.17617,73434.01017,67028.00344,101124.3558,59166.83859,34280.8998,51146.27932,0,44195.92095,54880.79881,56405.75004,58905.81004,58553.2395,51037.8685,76388.51254,60557.52645,68051.32654,43118.91316,35379.37341,81042.45902,0,42047.24749,24709.91101,44312.07281,81476.52918,49051.47989,55023.28653,65312.01649,0,0,33698.52483,56604.72531,36972.95574,70102.35718,0,64590.90457,55539.34248,45939.83202,67831.35126,0,33954.52161,55694.31931,39252.5842,62122.03815,0,43141.85763,40942.98149,59769.06627,47645.42172,0,0,60671.66702,53886.09968,0,50034.78755,36137.05951,44387.18835,50335.3051,40569.52223,58262.71695,28357.48427,62834.91363,50436.92705,101840.5356,39816.94939,40330.2037,46357.72695,67936.28618,46635.92938,44237.96652,72748.52911,105462.8722,49273.59782,82095.77462,72521.22196,72182.96938
GT3d480_4,0,0,0,0,40306.53912,0,0,0,0,0,0,0,0,0,0,53849.114,0,59832.38141,45993.68155,0,0,68466.43954,0,0,0,59803.44893,0,0,0,0,48836.8718,0,49952.47668,62237.84532,0,0,51620.00807,0,0,63494.31469,0,0,0,79189.30157,35258.5029,0,0,0,0,0,0,0,44176.16765,0,0,0,0,0,0,0,52812.82589,0,0,0,0,0,0,0,0,0,48668.77547,0,0,43764.53726,0,0,51880.39288,0,0,0,33356.53619,0,61197.48306,45525.05926,0,0,0,0,0,52385.65424,55045.85151,0,67612.67629,49325.2424,0
GT3d480_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64190.54429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37237.60725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39343.87622,0,0,0,0,0,38736.00526,0,0,0,0,0,0,0,0,0,0,38128.00438,0,0,0,0,0,0,0
GT3d480_6,56416.57253,0,48708.51496,0,45623.55452,0,0,45262.6021,0,0,57523.69919,41704.59275,49740.46585,0,0,0,39980.17305,41556.80582,47338.30682,0,0,73446.90674,55012.74668,34903.11516,27197.82906,65037.32895,0,0,61674.27418,57477.37274,40629.41857,37297.61826,50459.85272,61532.93831,42404.42698,68321.82449,0,36955.35668,0,63051.15036,37841.67584,26490.56937,60162.22615,74346.28135,0,0,87362.87624,39092.86279,0,47092.4482,37748.70441,26704.89397,43508.1747,0,0,0,51046.57406,0,38397.52115,0,0,0,48161.97509,47201.43555,30384.64719,33767.09416,0,46509.7858,0,52669.18894,0,76177.61326,46002.96529,0,0,44544.42169,0,0,0,0,0,43258.71039,0,0,0,42230.27326,49560.98385,0,0,39778.4392,50149.90607,0,0,0,0
GA1t565_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA1t565_1,98778.45553,41633.222,0,86001.16899,89810.10724,72032.66229,54416.29589,105614.2016,50801.00594,48787.72902,98123.2713,0,74669.50571,0,0,62591.58095,63333.35557,96617.25102,71691.87726,0,73142.83424,118384.6889,92688.22947,46534.18822,34886.26421,111134.1095,47016.71261,45094.43607,98463.77078,95759.49985,62356.5382,78322.77267,96386.89932,109358.0702,51873.86413,144897.6953,96610.99547,44717.12924,126713.3166,108619.5282,58198.9714,30364.65288,76738.50316,80139.34404,34484.97578,105389.6595,71248.63903,81874.7242,64231.89388,59465.70589,59885.23874,0,0,45054.89734,72131.60129,0,77016.11982,76487.44796,39399.21268,56369.99735,93346.91394,39600.31723,97819.45278,53597.54826,30660.44532,67994.60532,87665.09509,85976.87478,90567.51519,66133.56936,44474.39895,108803.726,67474.7252,47063.56116,72461.55466,64713.3306,50333.01518,52932.5247,97483.75016,0,30235.69378,113650.0562,83809.05688,0,38676.94231,84399.73717,83404.63406,58492.26728,0,53842.34397,59065.04236,47889.8611,50659.73092,51310.60025,0
GA1t565_2,74242.39413,0,42249.51553,58022.21532,86098.03742,49504.44731,49342.99526,97034.60313,45505.00256,66079.03714,76268.22837,61537.16914,73109.19297,34991.25903,32314.99238,64151.34774,59216.00585,89330.89321,85375.75032,44117.6598,53513.39002,109094.3645,78547.27822,46009.73934,46196.27488,113933.4885,49590.75063,47413.33146,89068.54468,60566.92687,59840.65962,79865.97661,109372.8111,91101.2807,0,95149.90764,85360.095,56016.44994,81580.84928,90006.37002,46777.08262,43998.35828,80806.83341,86362.72095,0,88144.93055,82587.981,64663.94845,67984.964,59970.56679,59107.23129,0,42090.0193,0,77920.1741,0,77791.66056,108171.8325,0,69203.73184,66459.65735,34401.43066,81511.07122,95349.06836,38043.51359,50914.90332,97406.44566,64701.36694,73802.61978,75540.88046,46798.92436,94772.98428,77097.17256,0,66895.40264,72431.35629,0,52887.47451,102984.8054,35174.09155,37566.43272,99926.54726,91136.54352,65722.57152,43651.12701,75613.15637,114639.9319,44995.86767,38036.92962,56937.14149,68556.58337,56119.43149,0,53387.90801,0
GA1t565_3,0,44319.15723,0,66663.15474,57898.09262,0,45728.56218,73383.56756,0,0,0,60100.85136,39967.04237,0,0,47391.12196,35193.20746,74034.26501,69512.5749,38451.59756,0,99302.55723,86075.14362,39511.17423,0,71032.06434,40923.95699,0,96010.92288,58650.94684,47226.28414,58319.48783,89543.6624,75453.60744,0,72512.1176,0,0,0,92912.46111,0,0,67517.66645,58980.4787,0,94083.25084,56572.19541,51653.35278,63926.3227,34889.34213,64490.25429,36509.64533,0,0,0,0,0,70689.72971,0,56867.4819,70409.7293,0,70185.55606,57713.13144,0,48967.84375,63424.91971,0,63866.46234,53685.24095,0,96957.03122,0,0,71404.94174,41781.57888,0,45401.84423,93144.01934,0,40937.94448,87511.75554,0,51837.25748,0,68837.17728,85150.74924,40744.47529,0,52310.41788,84660.00205,0,0,65126.29102,0
GA1t565_4,0,0,0,0,71021.91536,0,0,62506.43001,0,0,0,0,0,0,0,0,0,0,47525.76641,0,0,77079.12034,54550.81847,0,0,0,0,0,0,0,0,0,0,0,0,72783.41775,0,0,0,0,0,0,61218.83827,0,0,0,0,0,0,42062.86205,0,0,0,0,0,0,0,0,0,47493.03717,55281.72566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59958.25767,0,0,0,69931.55485,0,0,48128.23762,0,42681.73904,0,41853.39864,0,50486.19029,0,0,0
GD1d361_0,73928.75125,71833.24124,73525.69614,92298.17854,48961.37724,95481.31478,75572.40834,93545.71374,81962.90991,111196.4418,107311.1875,117104.4824,85458.68595,51853.09055,42150.1893,72238.70786,62619.23889,118691.2441,77444.22475,102082.9016,135690.0948,106307.6908,88214.95621,93154.99378,53780.69183,60210.29971,71807.02583,78749.73498,68853.58171,86862.19497,91651.33651,97741.70976,95117.06787,93342.99745,78648.75643,80721.10692,63120.341,88009.66099,120851.0201,80862.51691,59574.39889,59505.58573,67988.15904,114669.6235,76965.56584,100385.1179,74700.73043,108027.7598,90477.7168,52043.57729,72294.49897,76105.85542,115632.8775,97343.67632,87256.37657,68215.83015,73168.49164,81633.92856,114474.4585,59892.59078,66081.54665,69759.04402,78089.21941,69207.4274,54669.31503,47520.52957,69832.41114,90480.67544,92783.10162,73616.21441,114078.7028,75378.41201,57507.10842,95627.13851,68085.3555,75686.37355,89580.36981,69332.34455,84202.03234,58515.27067,75372.82486,103677.1252,143319.9459,76419.24858,77773.33614,88864.03827,77129.65047,94573.61782,73810.27273,78188.01912,74003.4366,73583.29934,108238.5302,125783.6213,116236.2144
