Measurements.Samples,Spot.238812,Spot.238813,Spot.238814,Spot.238815,Spot.238816,Spot.238817,Spot.238818,Spot.238819,Spot.238820,Spot.238821,Spot.238822,Spot.238823,Spot.238824,Spot.238825,Spot.238826,Spot.238827,Spot.238828,Spot.238864,Spot.238865,Spot.238866,Spot.238867,Spot.238868,Spot.238869,Spot.238871,Spot.238873,Spot.238875,Spot.238877,Spot.238878,Spot.238879,Spot.238880,Spot.238881,Spot.238882,Spot.238883,Spot.238884,Spot.238885,Spot.238886,Spot.238887,Spot.238892,Spot.238893,Spot.238894,Spot.238895,Spot.238896,Spot.238897,Spot.238898,Spot.238899,Spot.238929,Spot.238930,Spot.238931,Spot.238932,Spot.238933,Spot.238934,Spot.238935,Spot.238936,Spot.238937,Spot.238939,Spot.238944,Spot.238949,Spot.238970,Spot.238971,Spot.238972,Spot.238973,Spot.239001,Spot.239002,Spot.239003,Spot.239004,Spot.239005,Spot.239006,Spot.239007,Spot.239008,Spot.239048,Spot.239049,Spot.239050,Spot.239051,Spot.239076,Spot.239077,Spot.239078,Spot.239128,Spot.239129,Spot.239130,Spot.239154,Spot.239210,Spot.239211,Spot.239233,Spot.239234,Spot.239293,Spot.239294,Spot.239295,Spot.239378,Spot.239379,Spot.239380,Spot.239465,Spot.239466,Spot.239467,Spot.239554,Spot.239555,Spot.239556,Spot.239645,Spot.239646,Spot.239736,Spot.239737,Spot.239831,Spot.239832,Spot.239926,Spot.239927,Spot.240023,Spot.240024,Spot.240122,Spot.240123,Spot.240124,Spot.240224,Spot.240327,Spot.240328,Spot.240432,Spot.240433,Spot.240538,Spot.240646,Spot.240756,Spot.240757,Spot.240869,Spot.240982,Spot.241096,Spot.241212,Spot.241328,Spot.241329,Spot.241446,Spot.241564,Spot.241565
GD2d420_2,107634.2121,60884.84574,45847.5343,41848.56867,62907.82436,67974.0784,49958.27736,46153.57593,51055.49683,42323.79626,58270.59904,68409.28727,87463.42659,44611.39645,48012.09726,52265.88155,23731.78273,52815.22895,52286.25964,56179.6172,61907.61808,71400.05468,41108.17722,68340.14024,34492.99146,45255.3417,41667.96805,27804.44853,40437.72442,55076.18544,49432.83057,33096.04996,51331.56297,73760.8706,35887.23481,63203.86747,54787.44756,31215.39124,57131.48844,47694.38831,48290.89337,43154.55411,45611.15312,33321.8966,60243.54318,53229.93267,38559.51672,36274.78367,0,45527.67145,57767.51556,72361.87847,37622.30473,41096.77892,48303.26182,52397.32366,53833.42052,56484.73138,58400.80032,36531.62965,39305.60278,0,45940.45215,54795.38285,33718.94189,43397.27869,42776.79689,34954.02609,46947.8379,54476.00104,43467.9059,54292.51193,62681.09958,41960.91785,71163.80355,54483.19349,74188.38393,56041.71616,68169.10712,49005.25989,48442.19548,33791.38037,53946.13672,41492.88741,41754.0324,65763.09537,57633.82387,46500.26639,28184.71538,40429.66368,38978.08454,74774.96201,56175.52572,55023.44652,47310.22638,50075.01858,43180.78152,35431.59293,63539.6635,38003.22666,57480.61863,51307.65994,43342.80148,77424.6817,33291.46179,51302.02779,60535.67061,68087.35758,36100.5068,49524.34471,59109.22106,82082.54735,33570.34476,76777.50102,43736.02424,57182.25541,37244.75601,50954.09371,0,54561.55159,37988.85839,50648.47275,37902.51329,37657.19247,56442.9308,72263.0491,60539.61335
GD2d420_3,55086.58402,53373.55931,33515.73472,0,65876.38983,0,37465.72351,34991.73304,0,33763.79521,36806.9907,51275.07306,68208.08976,0,44922.81602,34074.53798,0,36264.78549,35073.02293,36852.5401,44373.4864,44619.45654,43109.07188,47826.43512,36917.65614,51953.36622,39786.57719,27576.61226,0,37042.81395,41202.57855,0,35545.30139,64219.72512,0,46998.40805,39326.63006,23247.19838,0,24870.00163,43645.76128,40371.8321,0,30179.44304,37175.80013,40344.86886,31257.3346,0,0,44098.01108,35612.43303,0,41530.53037,38770.18401,37780.40231,0,37385.7965,33313.14992,38578.64654,27230.03441,0,28733.34193,32593.90219,45678.66416,0,0,0,33363.35536,0,40049.59851,36912.68676,42130.78145,42664.23778,52821.07617,0,45584.76226,51286.05975,0,38554.4258,48852.92287,0,0,29925.73971,0,0,0,0,0,27952.45424,42230.47257,39243.9123,0,37038.11765,40238.57191,41046.55274,39337.98237,28373.33357,30238.48505,49377.71203,0,34088.78709,54156.38422,39501.8164,44542.29024,0,0,38948.02624,0,0,31537.11488,0,0,0,0,0,0,37989.68923,0,0,35996.31652,26662.45944,0,0,0,52336.45573,0,44221.93196
GD2d420_4,0,0,0,0,0,0,0,0,34231.67563,0,0,0,0,0,0,0,0,0,0,0,0,50087.16796,35606.35466,0,0,41854.74938,0,0,0,0,0,0,0,0,32031.51818,0,0,0,0,0,0,0,0,26475.85647,0,0,0,0,0,0,0,0,0,0,0,30784.80871,25041.29756,0,30514.06497,0,0,0,0,0,0,0,0,0,0,0,0,0,34961.7686,0,0,32201.69374,0,0,0,0,0,0,34231.99201,0,32397.4534,0,0,0,27257.72313,0,0,0,36034.45797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40268.37603,0,0,0,0,0
GD2d420_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD2d447_0,63803.26292,48884.84042,32688.45532,28529.70104,0,41603.51338,0,0,0,0,33302.40122,0,0,0,40303.03051,0,29219.21773,0,0,35358.10265,39213.62996,0,34838.71581,44541.36499,0,0,37939.82498,0,0,0,0,0,0,66243.00783,0,47820.31771,34238.59647,27428.3687,0,24166.80617,30605.9871,0,0,0,52076.36797,0,0,26595.17317,29851.07849,0,0,0,33974.61112,0,0,0,0,0,0,0,0,35825.76498,0,0,32645.81913,38727.88526,0,0,44920.84756,37715.26097,0,37737.85496,47380.04386,0,0,0,56662.42457,0,39991.55941,0,0,0,32574.26466,0,0,0,0,0,0,42867.81739,0,0,45423.54155,35123.87511,0,0,0,0,0,0,39804.52024,47099.27666,49247.96318,0,0,41173.70534,39745.61712,0,29439.1797,0,38298.96709,91547.50841,0,51929.63187,40408.64499,0,36127.9595,0,30167.83784,0,0,48602.11526,0,27466.68119,47216.07543,0,0
GD2d447_1,0,53194.7533,28516.76179,32647.95554,71682.00576,44341.77476,0,0,0,35200.65181,0,0,0,39725.52567,0,48576.33994,24098.6976,0,0,30243.03607,0,0,0,0,0,49480.97256,0,0,0,0,0,0,36901.69222,0,35518.24037,0,0,35424.36519,56618.21253,0,0,0,0,27600.78938,51370.46373,0,0,0,0,0,0,45038.41423,36585.79902,0,0,32060.92767,26899.94948,26898.5403,0,0,29183.43468,32713.02227,35697.10253,0,0,0,0,0,0,0,0,0,36256.89211,41751.28413,57886.13369,0,37331.59496,0,36368.07666,0,0,0,0,0,0,0,44042.99578,29998.3982,0,0,0,0,0,0,0,43031.55597,0,31426.62496,57564.94704,41205.93696,0,56551.50765,44344.20781,0,0,43352.94504,47966.10219,0,40552.05051,43631.23609,0,0,0,63864.67373,42643.08853,0,31285.26217,41675.74564,35231.66276,0,0,55197.27601,43326.55875,0,54970.17355,59890.30419,51739.48055
GD2d447_2,54714.02758,46285.97786,0,29561.73822,58865.74685,36121.25136,37964.25011,0,0,0,0,0,0,0,0,0,31481.27988,28108.77199,0,0,0,46330.06353,0,0,0,0,0,0,0,0,34543.56104,0,29605.0108,74692.59799,0,0,0,0,34965.9958,0,0,0,0,0,31211.53873,0,0,0,31881.23385,0,0,0,0,0,0,38515.80838,0,0,0,0,28368.9535,28914.36428,0,0,0,0,0,0,35773.58726,0,30603.70042,0,0,0,0,0,0,0,0,0,0,33968.37223,0,0,0,0,0,28182.37135,0,0,0,0,0,0,0,0,0,30232.84094,0,39246.69115,0,42692.07592,0,0,27559.53598,0,0,0,34578.22186,0,35020.41878,62096.92201,0,54550.70874,0,0,0,0,0,0,0,0,0,0,53968.7936,0,0
GD2d447_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42043.47786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34930.22824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30313.62285,0,0,0
GD2d447_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT3d480_0,299045.8164,189598.3612,140544.9404,162600.3229,321413.4189,141845.2819,183831.483,95931.10076,144941.3005,102432.9908,203959.9063,208829.4382,272063.2113,192583.9715,224012.0897,240451.4075,147259.7606,129587.853,180635.6936,205315.968,133958.2214,239127.0803,137354.4871,220374.1108,92800.95492,177109.2557,151889.7216,140929.4645,170477.8676,116916.0458,156154.2734,134785.8493,202849.0865,462334.7043,181016.2428,217219.8308,240936.2205,189749.8395,185444.5682,130960.6339,166978.6332,158212.3527,138115.0354,120780.5446,93673.83212,165381.1774,121532.8459,86274.51702,157374.4769,115463.6295,138008.9499,244417.354,158326.2542,153308.2568,207944.2994,223157.6054,116144.8494,115064.5784,130515.1038,88355.655,150229.3568,125409.7277,151264.3039,225626.9768,96180.76154,224835.4607,139331.8214,198743.9215,201396.2552,145275.3613,115459.97,133627.7347,271939.0755,170115.5006,278439.9855,124396.4746,213285.9005,160157.8405,227509.3821,158526.6778,206172.7675,114493.7569,129769.061,136760.5599,134429.5763,236232.3707,219014.5113,163517.9566,146929.7034,273556.6231,152070.2486,294960.9156,210955.1406,151448.6045,91596.58572,251564.9495,137011.1054,147507.2263,351142.0425,211654.5794,260215.6234,374198.5157,297114.9251,310056.4788,173280.3041,252663.804,272024.4255,323375.8059,275593.6938,162386.9323,190222.5713,631481.9172,167233.7415,369234.6255,205622.8309,200689.7444,222850.4258,299493.5615,173837.5995,168944.4944,186165.5006,366210.4454,240484.4319,238290.0295,269367.6517,515013.3909,341798.8981
